age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,cons_conf_idx,euribor_3_month,deposit,age_bucket,previous_campaign
56,3,2,2,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
57,7,2,3,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
37,7,2,3,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
40,0,2,2,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
56,7,2,3,0,0,2,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
45,7,2,3,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
59,0,2,4,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
41,1,2,1,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
24,9,1,4,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,1,0
25,7,1,3,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,1,0
41,1,2,1,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
25,7,1,3,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,1,0
29,1,1,3,0,0,2,1,5,1,1,999,0,1,-36.4,4.857,0,1,0
57,3,3,2,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
35,1,2,2,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
54,5,2,3,1,2,2,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
35,1,2,2,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
46,1,2,2,1,2,2,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
50,1,2,3,0,2,2,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
39,4,1,3,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
30,10,2,3,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,1,0
55,1,2,2,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
55,5,1,3,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
41,9,1,3,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
37,0,2,3,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
35,9,2,4,0,0,2,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
59,9,2,1,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
39,6,2,3,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
54,9,1,4,1,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,3,0
55,11,2,4,1,1,1,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
46,0,2,1,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
59,9,2,1,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
49,1,2,1,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
54,4,2,2,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
54,1,3,2,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
55,11,2,2,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
34,7,2,3,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
52,9,2,3,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
41,0,2,4,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
56,9,2,2,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
58,4,0,4,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
32,2,2,3,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,1,0
38,0,1,4,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
57,0,2,4,0,0,2,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
44,0,2,4,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
42,9,1,4,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
57,0,2,4,0,2,2,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
40,1,2,3,0,0,2,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
35,0,2,4,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
45,1,2,3,0,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
54,0,2,3,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
39,3,2,2,0,0,2,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
60,0,2,3,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
53,0,1,4,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
55,1,2,2,1,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,3,0
55,9,2,4,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
50,4,2,4,1,0,2,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
45,7,2,3,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
55,10,2,4,1,2,2,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
25,9,1,4,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,1,0
47,2,2,4,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
51,1,2,3,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
42,1,2,2,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
42,1,2,2,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
48,0,2,3,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
37,0,2,4,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
44,1,1,3,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
33,0,2,1,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
56,0,2,3,0,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,3,0
44,1,1,2,1,2,2,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
41,4,2,2,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
44,4,3,4,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
47,0,2,4,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
57,11,2,1,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
37,0,2,4,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
41,1,3,2,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,1,2,0
55,9,2,4,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
33,7,2,3,1,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
55,4,2,1,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
42,1,2,3,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
50,1,2,2,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
51,1,2,2,1,1,1,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
38,0,2,3,1,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
49,2,2,4,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,1,3,0
38,9,1,4,0,0,2,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
31,0,3,3,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,1,0
41,4,2,2,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
39,0,2,4,0,2,2,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
49,9,2,3,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,1,3,0
34,0,2,3,0,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
35,0,2,4,0,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
57,11,2,1,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
60,0,2,1,1,0,2,1,5,1,2,999,0,1,-36.4,4.857,0,3,0
33,10,2,3,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
42,1,2,2,0,0,2,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
45,7,2,4,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
42,4,2,4,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
53,0,3,4,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
37,9,1,4,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
